"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L125","void main(String[] args)","main.Analiza.main([Ljava/lang/String;)V","L114","L103","C:\Users\Diego\eclipse-workspace\AnalyzeMe\src\main\Analiza.java","7","2","13","3","0","0","0","0","0","0","0","0","103.588","17","3637.49","236.52","45","27","202.083","213.97","111.114","64.9789","84.8063","49.5943","2","1","1","0","2","0","0","0","0","0","7","7","6","1","7","7","6","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L138","int suma(int a, int b)","main.Basic.suma(II)I","L122","L103","C:\Users\Diego\eclipse-workspace\AnalyzeMe\src\main\Basic.java","4","2","6","3","0","0","0","0","0","0","0","0","16.3645","4.16667","150","28.2311","12","8","8.33333","36","134.338","78.5603","118.21","69.1287","1","0","0","1","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L141","int producto(int a, int b)","main.Basic.producto(II)I","L122","L103","C:\Users\Diego\eclipse-workspace\AnalyzeMe\src\main\Basic.java","8","2","10","3","0","0","0","0","0","0","0","0","16.3645","4.16667","150","28.2311","12","8","8.33333","36","134.338","78.5603","118.21","69.1287","1","0","0","1","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
